,Image,F1,Jaccard,Recall,Precision
28,218.png,0.8999484270242393,0.8180965775902485,0.9401939655172413,0.8630069238377843
29,2046.png,0.5713184271395528,0.39989206691851054,0.4038147138964578,0.9762845849802372
30,3.png,0.9358830146231721,0.879492600422833,0.9498620492817049,0.9223094688221709
31,1270.png,0.30396659707724427,0.1792220580994584,0.91,0.1824561403508772
32,573.png,0.9119651921682379,0.8381764862703279,0.9984121943474119,0.8392952482648158
33,861.png,0.23203904095056227,0.1312466996303586,0.13271844660194174,0.9220910623946037
34,2463.png,0.17954597569364825,0.09862703111223076,0.5537482319660537,0.10714285714285714
35,1326.png,0.8937409024745269,0.8078947368421052,0.9660163624921334,0.8315276273022751
36,528.png,0.80995292535306,0.6806057866184448,0.999667994687915,0.6807596653854849
37,461.png,0.8610354223433242,0.7559808612440191,0.926007326007326,0.8045830681094844
